Benchmark,Processor,L1ISize,CPI
susan,ARM,2,2.669304773
susan,ARM,4,2.663791409
susan,ARM,8,2.661337008
susan,ARM,16,2.661346391
susan,ARM,32,2.661311361
susan,X86,2,2.951154195
susan,X86,4,2.951223465
susan,X86,8,2.950997147
susan,X86,16,2.950988319
susan,X86,32,2.950957941
CRC32,ARM,2,3.321916535
CRC32,ARM,4,3.321853884
CRC32,ARM,8,3.320668298
CRC32,ARM,16,3.320597052
CRC32,ARM,32,3.320543776
CRC32,X86,2,3.475093313
CRC32,X86,4,3.474157561
CRC32,X86,8,3.473972407
CRC32,X86,16,3.474266456
CRC32,X86,32,3.474087758
