Benchmark,Architecture,Association,CacheLineSize,Cycles,Instructions,DCacheMissRate,ICacheMissRate,DCacheMissCycles,ICacheMissCycles,CPI,CycleDiffAssoc,CycleDiffLn

susan,X86,2,16,1066406732,370373330,0.000442,5E-06,1070978500,137861500,2.879275168,-0.1203743498,0
susan,X86,2,32,1064445198,370373330,0.000243,3E-06,583923500,86915000,2.873979069,-0.1219923212,-0.001839386363
susan,X86,2,64,1063670048,370373330,0.000175,2E-06,451784500,58679500,2.87188618,-0.1227938345,-0.000728219735
susan,X86,2,128,1063842730,370373330,0.00019,1E-06,638144000,44041000,2.872352418,-0.122489267,-0.0004563647614

susan,X86,4,16,1066271106,370373330,0.000428,5E-06,1010518000,137715000,2.878908981,-0.1205013259,0.002282645669
susan,X86,4,32,1064328452,370373330,0.000228,3E-06,535862500,86084000,2.873663857,-0.1221556693,0.0008216673868
susan,X86,4,64,1063454646,370373330,0.000145,2E-06,366585000,58432000,2.8713046,-0.1228763731,0.0003097301703
susan,X86,4,128,1063125364,370373330,0.000102,1E-06,325966500,44152000,2.870415545,-0.1230960468,0

susan,X86,8,16,1066251526,370373330,0.000427,5E-06,998842000,137990000,2.878856115,6.471272769E-07,0.002636449105
susan,X86,8,32,1064308796,370373330,0.000229,3E-06,530143500,87419000,2.873610786,-2.923126321E-05,0.001188685143
susan,X86,8,64,1063447800,370373330,0.000144,2E-06,363982000,58965000,2.871286116,-1.316472689E-08,-0.002637145573
susan,X86,8,128,1063045170,370373330,9.3E-05,1E-06,289489000,44806000,2.870199023,-2.551155076E-06,-0.001201664008

susan,X86,16,16,1066259682,370373330,0.000427,5E-06,1003880500,138429500,2.878878136,-0.1206581695,0
susan,X86,16,32,1064324130,370373330,0.00023,3E-06,535788500,87570000,2.873652188,-0.1222544146,0.001202727361
susan,X86,16,64,1063447960,370373330,0.000144,2E-06,361879500,58947000,2.871286548,-0.1229769899,0.0003785199893
susan,X86,16,128,1063045576,370373330,9.2E-05,1E-06,288713000,45255000,2.870200119,-0.1233088351,-0.003016936482

susan,X86,32,16,1066262422,370373330,0.000427,5E-06,1007092500,138567000,2.878885534,-0.1205084888,0.00302606593
susan,X86,32,32,1064323826,370373330,0.000232,3E-06,535864500,87759000,2.873651367,-0.1221075123,-0.001818122781
susan,X86,32,64,1063447696,370373330,0.000144,2E-06,362510000,58029000,2.871285835,-0.1228301758,0
susan,X86,32,128,1063048014,370373330,9.2E-05,1E-06,288904000,44278000,2.870206702,-0.1231598478,-0.003003816637

susan,X86,64,16,1066250836,370373330,0.000427,5E-06,1002628500,138632000,2.878854252,-0.1205701118,0.002635787072
susan,X86,64,32,1064339908,370373330,0.000234,3E-06,539661000,87461000,2.873694788,-0.1221462205,0
susan,X86,64,64,1063447814,370373330,0.000144,2E-06,360910500,59140000,2.871286153,-0.1228820081,-0.0008381664479
susan,X86,64,128,1063047882,370373330,9.2E-05,1E-06,288594000,43801000,2.870206346,-0.1232118668,0
